Broker_id,Property_id
1224343,15446514
1224343,14683118
1224343,5476295
1224343,15477040
1224343,15520995
1224343,15524131
1224343,12850089
1224343,14242412
1224343,14582561
1224343,15371103
1224343,14992286
1224343,15291591
1224343,14557203
1224343,13031865
1224343,12651959
1224343,15252122
1224343,14561007
1224343,14682578
1224343,15073006
1224343,13142727
1224343,15352978
1224343,14313136
1224343,15322279
1224343,15277246
1224343,14104631
1224343,14153961
1224343,8668652
1224343,15260100
1224343,14847894
1224343,15125088
1224343,14902707
1224343,15316767
1224343,15213235
1224343,14429612
1224343,14897124
1224343,14351210
1224343,14642352
1224343,15180496
1224343,12500066
1224343,15125211
1224343,14854123
1224343,15184395
1224343,14207741
1224343,15060120
1224343,10238026
1224343,13851923
1224343,14683250
1224343,15129741
1224343,12773955
1224343,14064738
1224343,13351182
1224343,14278506
1224343,15104186
1224343,14055032
1224343,15135307
1224343,15256062
1224343,15113823
1224343,15143887
1224343,12954562
1224343,9914033
1224343,5476296
1224343,15520994
1224343,15524130
1224343,13185441
1224343,13639661
1224343,15291590
1224343,13031864
1224343,13320252
1224343,15252121
1224343,15215536
1224343,14682573
1224343,14166918
1224343,14687873
1224343,14313135
1224343,15322278
1224343,15277245
1224343,14104630
1224343,14682020
1224343,15260099
1224343,14847892
1224343,14911136
1224343,15213234
1224343,12554773
1224343,14897123
1224343,12495375
1224343,15125210
1224343,14854122
1224343,15184394
1224343,13337778
1224343,10238025
1224343,14683248
1224343,9829480
1224343,9829481
1224343,15524877
1224343,15524876
1224343,15524875
1224343,15524874
1224343,15524129
1224343,15520993
1224343,15520992
1224343,15520991
1224343,12850088
1224343,12848907
1224343,12850087
1224343,12850086
1224343,15291589
1224343,15291588
1224343,14682567
1224343,14682583
1224343,14682582
1224343,14682563
1224343,14166866
1224343,15277244
1224343,15016309
1224343,15277243
1224343,15277242
1224343,15277241
1224343,15277240
1224343,14712368
1224343,14375855
1224343,14375854
1224343,15110307
1224343,15110306
1224343,14312304
1224343,14312303
1224343,14312302
1224343,12562250
1224343,12562285
1224343,9002227
1224343,12562266
1224343,12204746
1224343,15260097
1224343,8512566
1224343,15398689
1224343,15398688
1224343,5018021
1224343,15562133
1224343,13187401
1224343,15558468
1224343,6302010
1224343,15547219
1224343,15504290
1224343,15468434
1224343,10148618
1224343,15446557
1224343,15528168
1224343,15528192
1224343,15461496
1224343,15460356
1224343,15503012
1224343,12877214
1224343,14731192
1224343,15433647
1224343,15520541
1224343,13523837
1224343,9127645
1224343,15528624
1224343,15125209
1224343,12967580
1224343,14854121
1224343,12495364
1224343,12495353
1224343,14249457
1224343,15484817
1224343,10238024
1224343,14683245
1224343,14683242
1224343,14683246
1224343,14683243
1224343,13165062
1224343,13165061
1224343,13165060
1224343,15267201
1224343,15264701
1224343,15264700
1224343,15264699
1224343,15264697
1224343,15264806
1224343,15264805
1224343,15264804
1224343,14303525
1224343,14322784
1224343,14322782
1224343,14278505
1224343,14278502
1224343,14322783
1224343,15104185
1224343,15104180
1224343,14248879
1224343,14248885
1224343,14248884
1224343,15104178
1224343,15104177
1224343,15104174
1224343,15363382
1224343,15362142
1224343,14156559
1224343,14127681
1224343,9222041
1224343,10425332
1224343,10425258
1224343,13609650
1224343,15094968
1224343,15328898
1224343,15322741
1224343,15304683
1224343,15135306
1224343,15275181
1224343,15274100
1224343,15135308
1224343,5992555
1224343,5314214
1224343,15243467
1224343,12990581
1224343,15234076
1224343,15228204
1224343,15229852
1224343,15220366
1224343,15211981
1224343,14244080
1224343,15210195
1224343,5416320
1224343,15167353
1224343,15177180
1224343,15166074
1224343,15147079
1224343,15137233
1224343,15113111
1224343,14390923
1224343,13977230
1224343,10088548
1224343,15063316
1224343,15061878
1224343,13232424
1224343,15065581
1224343,14996716
1224343,14148560
1224343,13903414
1224343,15019831
1224343,14750516
1224343,12691012
1224343,14293868
1224343,15061563
1224343,14894314
1224343,12093174
1224343,15573499
1224343,15573490
1224343,15573482
1224343,13482582
1224343,14596551
1224343,15287087
1224343,15287086
1224343,15287085
1224343,14869509
1224343,14897681
1224343,13164705
1224343,15426084
1224343,15411251
1224343,15411250
1224343,14927749
1224343,15470592
1224343,15470591
1224343,13646357
1224343,15530952
1224343,15530951
1224343,15530950
1224343,15530949
1224343,14584984
1224343,14581775
1224343,15526496
1224343,15526497
1224343,15274896
1224343,15526495
1224343,10005066
1224343,13805117
1224343,13805114
1224343,13805112
1224343,13805109
1224343,13805106
1224343,15526492
1224343,15527027
1224343,15107665
1224343,15107680
1224343,15107672
1224343,15576059
1224343,15107677
1224343,15574131
1224343,5702125
1224343,5502981
1224343,15578576
1224343,14869748
1224343,14730643
1224343,14730642
1224343,14730641
1224343,14730639
1224343,14462435
1224343,14462434
1224343,6227591
1224343,15529121
1224343,15529120
1224343,15529119
1224343,15529118
1224343,14226311
1224343,14226306
1224343,13695193
1224343,14494016
1224343,15540789
1224343,15540393
1224343,14620925
1224343,13590166
1224343,15488925
1224343,15488924
1224343,15488923
1224343,10030343
1224343,10764978
1224343,14492927
1224343,13632146
1224343,14038358
1224343,10026546
1224343,6636508
1224343,10569125
1224343,15537991
1224343,15530272
1224343,14245880
1224343,15517279
1224343,15517224
1224343,14886963
1224343,14574640
1224343,14159657
1224343,15509626
1224343,14283815
1224343,14163673
1224343,14163672
1224343,14163671
1224343,5370042
1224343,15469632
1224343,15532521
1224343,15532520
1224343,14348931
1224343,5679839
1224343,13190434
1224343,13306464
1224343,13216582
1224343,15454390
1224343,10286459
1224343,14171961
1224343,10067868
1224343,6583981
1224343,15522484
1224343,10033506
1224343,10067530
1224343,13035816
1224343,15524254
1224343,15243109
1224343,10158410
1224343,15492521
1224343,5161393
1224343,5161811
1224343,10451714
1224343,14479459
1224343,13035353
1224343,10519183
1224343,12691025
1224343,12865720
1224343,12335496
1224343,15454819
1224343,15538328
1224343,15538327
1224343,15538326
1224343,14579964
1224343,14233349
1224343,15494210
1224343,14029522
1224343,14936238
1224343,14687870
1224343,15472652
1224343,13429467
1224343,15399251
1224343,15435741
1224343,12415637
1224343,13224941
1224343,15435842
1224343,15561339
1224343,13123865
1224343,9223563
1224343,12236302
1224343,13004817
1224343,15521488
1224343,15521487
1224343,15312951
1224343,10246996
1224343,13690211
1224343,15374875
1224343,12340279
1224343,15374874
1224343,15374873
1224343,15374871
1224343,15374870
1224343,13571186
1224343,15374869
1224343,14583241
1224343,14583240
1224343,10534947
1224343,14902788
1224343,15511725
1224343,14902787
1224343,14464118
1224343,14464116
1224343,14464113
1224343,14464111
1224343,15311842
1224343,15312921
